"","colnames.nutrients_1day.","V2"
"46","DR1TVARA","Vitamin A, RAE (mcg)"
"47","DR1TACAR","Alpha-carotene (mcg)"
"48","DR1TBCAR","Beta-carotene (mcg)"
"49","DR1TCRYP","Beta-cryptoxanthin (mcg)"
"50","DR1TLYCO","Lycopene (mcg)"
"51","DR1TLZ","Lutein + zeaxanthin (mcg)"
"52","DR1TVB1","Thiamin (Vitamin B1) (mg)"
"53","DR1TVB2","Riboflavin (Vitamin B2) (mg)"
"54","DR1TNIAC","Niacin (mg)"
"55","DR1TVB6","Vitamin B6 (mg)"
"56","DR1TFOLA","Total folate (mcg)"
"57","DR1TFA","Folic acid (mcg)"
"58","DR1TFF","Food folate (mcg)"
"59","DR1TFDFE","Folate, DFE (mcg)"
"60","DR1TCHL","Total choline (mg)"
"61","DR1TVB12","Vitamin B12 (mcg)"
"62","DR1TB12A","Added vitamin B12 (mcg)"
"63","DR1TVC","Vitamin C (mg)"
"64","DR1TVD","Vitamin D (D2 + D3) (mcg)"
"65","DR1TVK","Vitamin K (mcg)"
"66","DR1TCALC","Calcium (mg)"
"67","DR1TPHOS","Phosphorus (mg)"
"68","DR1TMAGN","Magnesium (mg)"
"69","DR1TIRON","Iron (mg)"
"70","DR1TZINC","Zinc (mg)"
"71","DR1TCOPP","Copper (mg)"
"72","DR1TSODI","Sodium (mg)"
"73","DR1TPOTA","Potassium (mg)"
"74","DR1TSELE","Selenium (mcg)"
"75","DR1TCAFF","Caffeine (mg)"
"76","DR1TTHEO","Theobromine (mg)"
"77","DR1TALCO","Alcohol (gm)"
"78","DR1TMOIS","Moisture (gm)"
"79","DR1TS040","SFA 4:0 (Butanoic) (gm)"
"80","DR1TS060","SFA 6:0 (Hexanoic) (gm)"
"81","DR1TS080","SFA 8:0 (Octanoic) (gm)"
"82","DR1TS100","SFA 10:0 (Decanoic) (gm)"
"83","DR1TS120","SFA 12:0 (Dodecanoic) (gm)"
"84","DR1TS140","SFA 14:0 (Tetradecanoic) (gm)"
"85","DR1TS160","SFA 16:0 (Hexadecanoic) (gm)"
"86","DR1TS180","SFA 18:0 (Octadecanoic) (gm)"
"87","DR1TM161","MFA 16:1 (Hexadecenoic) (gm)"
"88","DR1TM181","MFA 18:1 (Octadecenoic) (gm)"
"89","DR1TM201","MFA 20:1 (Eicosenoic) (gm)"
"90","DR1TM221","MFA 22:1 (Docosenoic) (gm)"
"91","DR1TP182","PFA 18:2 (Octadecadienoic) (gm)"
"92","DR1TP183","PFA 18:3 (Octadecatrienoic) (gm)"
"93","DR1TP184","PFA 18:4 (Octadecatetraenoic) (gm)"
"94","DR1TP204","PFA 20:4 (Eicosatetraenoic) (gm)"
"95","DR1TP205","PFA 20:5 (Eicosapentaenoic) (gm)"
"96","DR1TP225","PFA 22:5 (Docosapentaenoic) (gm)"
"97","DR1TP226","PFA 22:6 (Docosahexaenoic) (gm)"
"98","DR1.300","Compare food consumed yesterday to usual"
"99","DR1.320Z","Total plain water drank yesterday (gm)"
"100","DR1.330Z","Total tap water drank yesterday (gm)"
"101","DR1BWATZ","Total bottled water drank yesterday (gm)"
"102","DR1TWS","Tap water source"
"103","DRD340","Shellfish eaten during past 30 days"
"104","DRD350A","Clams eaten during past 30 days"
"105","DRD350AQ","# of times clams eaten in past 30 days"
"106","DRD350B","Crabs eaten during past 30 days"
"107","DRD350BQ","# of times crabs eaten in past 30 days"
"108","DRD350C","Crayfish eaten during past 30 days"
"109","DRD350CQ","# of times crayfish eaten past 30 days"
"110","DRD350D","Lobsters eaten during past 30 days"
"111","DRD350DQ","# of times lobsters eaten past 30 days"
"112","DRD350E","Mussels eaten during past 30 days"
"113","DRD350EQ","# of times mussels eaten in past 30 days"
"114","DRD350F","Oysters eaten during past 30 days"
"115","DRD350FQ","# of times oysters eaten in past 30 days"
"116","DRD350G","Scallops eaten during past 30 days"
"117","DRD350GQ","# of times scallops eaten past 30 days"
"118","DRD350H","Shrimp eaten during past 30 days"
"119","DRD350HQ","# of times shrimp eaten in past 30 days"
"120","DRD350I","Other shellfish eaten past 30 days"
"121","DRD350IQ","# of times other shellfish eaten"
"122","DRD350J","Other unknown shellfish eaten past 30 d"
"123","DRD350JQ","# of times other unknown shellfish eaten"
"124","DRD350K","Refused on shellfish eaten past 30 days"
"125","DRD360","Fish eaten during past 30 days"
"126","DRD370A","Breaded fish products eaten past 30 days"
"127","DRD370AQ","# of times breaded fish products eaten"
"128","DRD370B","Tuna eaten during past 30 days"
"129","DRD370BQ","# of times tuna eaten in past 30 days"
"130","DRD370C","Bass eaten during past 30 days"
"131","DRD370CQ","# of times bass eaten in past 30 days"
"132","DRD370D","Catfish eaten during past 30 days"
"133","DRD370DQ","# of times catfish eaten in past 30 days"
"134","DRD370E","Cod eaten during past 30 days"
"135","DRD370EQ","# of times cod eaten in past 30 days"
"136","DRD370F","Flatfish eaten during past 30 days"
"137","DRD370FQ","# of times flatfish eaten past 30 days"
"138","DRD370G","Haddock eaten during past 30 days"
"139","DRD370GQ","# of times haddock eaten in past 30 days"
"140","DRD370H","Mackerel eaten during past 30 days"
"141","DRD370HQ","# of times mackerel eaten past 30 days"
"142","DRD370I","Perch eaten during past 30 days"
"143","DRD370IQ","# of times perch eaten in past 30 days"
"144","DRD370J","Pike eaten during past 30 days"
"145","DRD370JQ","# of times pike eaten in past 30 days"
"146","DRD370K","Pollock eaten during past 30 days"
"147","DRD370KQ","# of times pollock eaten in past 30 days"
"148","DRD370L","Porgy eaten during past 30 days"
"149","DRD370LQ","# of times porgy eaten in past 30 days"
"150","DRD370M","Salmon eaten during past 30 days"
"151","DRD370MQ","# of times salmon eaten in past 30 days"
"152","DRD370N","Sardines eaten during past 30 days"
"153","DRD370NQ","# of times sardines eaten past 30 days"
"154","DRD370O","Sea bass eaten during past 30 days"
"155","DRD370OQ","# of times sea bass eaten past 30 days"
"156","DRD370P","Shark eaten during past 30 days"
"157","DRD370PQ","# of times shark eaten in past 30 days"
"158","DRD370Q","Swordfish eaten during past 30 days"
"159","DRD370QQ","# of times swordfish eaten past 30 days"
"160","DRD370R","Trout eaten during past 30 days"
"161","DRD370RQ","# of times trout eaten in past 30 days"
"162","DRD370S","Walleye eaten during past 30 days"
"163","DRD370SQ","# of times walleye eaten in past 30 days"
"164","DRD370T","Other fish eaten during past 30 days"
"165","DRD370TQ","# of times other fish eaten past 30 days"
"166","DRD370U","Other unknown fish eaten in past 30 days"
"167","DRD370UQ","# of times other unknown fish eaten"
"168","DRD370V","Refused on fish eaten past 30 days"
